Player,ATT,RUSH YDS,RUSH TDS,REC,REC YDS,REC TDS,FL,Points
Kevin White,0.7,1.8,0.0,44.7,544.0,3.2,0.3,72.9
Chris Conley,0.0,0.0,0.0,44.5,530.4,2.8,0.2,69.2
Marquise Goodwin,0.5,2.9,0.0,34.6,508.1,2.8,0.2,67.7
ArDarius Stewart,0.5,1.5,0.0,40.3,518.4,2.7,0.3,67.6
Tavon Austin,20.6,123.6,0.8,38.9,389.1,2.1,1.3,66.3
John Ross,2.8,13.7,0.0,38.4,485.9,2.7,0.3,65.9
Brandon LaFell,0.3,0.3,0.0,37.7,493.3,2.8,0.2,65.6
Robert Woods,0.0,0.3,0.0,40.6,485.1,2.6,0.3,63.3
Seth Roberts,0.0,0.1,0.0,33.6,416.8,3.6,0.2,62.7
Nelson Agholor,2.3,12.3,0.1,41.1,459.4,2.3,0.8,60.0
Curtis Samuel,12.5,59.7,0.3,29.9,383.7,2.4,0.3,59.9
Kendall Wright,1.0,4.9,0.0,35.6,437.3,2.4,0.2,58.2
Laquon Treadwell,0.5,1.3,0.0,35.2,414.4,2.5,0.3,56.0
Tyler Boyd,1.1,8.0,0.0,37.1,429.5,2.1,0.7,55.2
Jeremy Kerley,0.5,2.9,0.0,40.2,441.1,1.9,0.5,54.7
Eli Rogers,0.4,3.0,0.0,31.0,396.4,2.5,0.2,54.3
Cooper Kupp,0.3,0.5,0.0,36.4,429.1,1.9,0.3,53.7
Travis Benjamin,1.2,5.4,0.0,30.1,418.8,2.3,1.7,53.1
Adam Humphries,2.3,13.3,0.0,33.0,365.8,2.0,0.2,49.7
Phillip Dorsett,1.5,9.0,0.0,25.7,367.7,2.0,0.2,49.5
Charone Peake,0.0,0.0,0.0,32.8,388.6,1.7,0.2,48.8
Albert Wilson,1.4,10.0,0.1,33.0,352.5,1.8,0.2,47.3
Jermaine Kearse,0.0,0.0,0.0,28.0,360.1,1.9,0.1,47.3
Will Fuller,0.5,3.3,0.0,27.5,356.3,1.9,0.2,47.2
Braxton Miller,3.2,17.8,0.1,30.3,333.9,1.9,0.2,46.6
Paul Richardson,0.6,2.2,0.0,25.6,343.7,1.9,0.1,45.9
Markus Wheaton,0.1,0.7,0.0,26.4,356.2,1.9,0.6,45.7
Brandon Coleman,0.0,0.0,0.0,25.3,319.9,2.2,0.2,45.1
Malcolm Mitchell,0.0,0.1,0.0,25.0,315.5,2.1,0.2,43.8
Carlos Henderson,0.0,0.0,0.0,25.7,340.0,1.8,0.4,43.8
Jaron Brown,0.0,0.0,0.0,24.6,327.6,1.8,0.2,43.4
Danny Amendola,0.0,0.0,0.0,28.5,316.8,2.2,1.1,43.1
Chris Godwin,0.0,0.0,0.0,25.7,330.8,1.8,0.3,43.0
Mike Williams,0.0,0.0,0.0,22.6,301.6,1.9,0.3,40.9
Andre Holmes,0.0,0.0,0.0,19.9,275.9,2.0,0.2,39.4
Jaelen Strong,0.0,0.2,0.0,26.4,308.3,1.4,0.2,39.1
Kamar Aiken,0.0,0.0,0.0,21.7,278.7,1.7,0.2,37.6
JuJu Smith-Schuster,0.0,0.0,0.0,21.6,279.7,1.3,0.2,35.6
Taywan Taylor,0.0,0.3,0.0,20.4,257.9,1.7,0.3,35.5
Dede Westbrook,0.0,0.0,0.0,22.0,277.9,1.4,0.4,35.2
Brice Butler,0.0,0.0,0.0,16.6,235.5,1.9,0.2,34.6
Geronimo Allison,0.0,-0.1,0.0,17.4,242.3,1.7,0.2,33.9
Rod Streater,0.0,0.0,0.0,18.3,235.0,1.6,0.2,33.0
Russell Shepard,1.5,5.9,0.0,17.2,235.2,1.3,0.2,31.7
Victor Cruz,0.3,1.7,0.0,20.2,277.8,0.8,0.8,31.5
