Player,RUSH ATT,RUSH YDS,RUSH TDS,REC,REC YDS,REC TDS,FL,Points
Kyle Juszczyk,6.5,25.1,0.2,26.7,214.1,1.4,0.0,33.7
Chris Ivory,55.9,222.9,1.4,9.7,75.1,0.1,2.4,33.6
Javorius Allen,51.8,196.1,0.9,11.4,80.3,0.2,0.8,32.9
Orleans Darkwa,48.6,182.8,1.5,8.1,56.9,0.2,0.8,32.6
Donnel Pumphrey,46.8,189.3,0.8,11.5,88.3,0.3,1.2,32.1
Jeremy Langford,43.5,166.5,1.1,8.9,69.3,0.2,0.2,31.0
Kenyan Drake,39.4,171.0,1.0,9.8,74.1,0.2,0.7,30.1
Wayne Gallman,46.4,179.2,1.2,7.8,59.7,0.1,0.9,29.5
Andre Ellington,24.8,100.2,0.5,15.0,131.1,0.5,0.1,29.3
Chris Carson,28.7,120.8,1.0,12.4,103.2,0.5,1.1,28.6
Lance Dunbar,29.2,115.5,0.5,14.6,116.2,0.4,0.4,27.7
Alfred Blue,44.3,175.6,0.7,9.0,59.2,0.2,0.9,27.2
Mike Tolbert,31.8,124.6,0.9,9.2,67.8,0.4,0.2,26.9
Elijah McGuire,37.6,151.9,0.8,8.6,67.1,0.1,0.8,25.5
Aaron Ripkowski,20.8,96.6,1.5,7.4,54.8,0.4,0.9,24.7
Elijah Hood,34.6,144.3,1.3,5.2,40.7,0.2,1.5,24.2
Aaron Jones,32.2,127.1,0.9,5.8,46.5,0.1,0.1,23.2
John Kuhn,9.9,29.8,1.8,10.4,63.0,0.4,0.0,22.6
Charcandrick West,33.8,124.9,0.7,7.5,56.7,0.2,0.9,22.0
Kerwynn Williams,24.8,121.3,0.8,6.6,52.5,0.1,0.8,21.5
Malcolm Brown,30.7,111.5,0.6,7.8,58.2,0.1,0.4,20.4
Jeremy McNichols,23.0,91.0,0.5,5.7,43.0,0.1,0.2,16.5
Andre Williams,28.3,104.5,0.6,2.0,17.0,0.1,0.0,16.0
Matt Asiata,15.6,57.9,0.8,5.8,45.9,0.0,0.1,15.0
Brian Hill,21.6,87.2,0.5,2.6,21.2,0.1,0.1,14.1
Kenjon Barner,22.3,84.3,0.4,5.0,37.4,0.2,1.1,13.8
Andy Janovich,5.3,27.2,0.6,7.2,57.2,0.1,0.0,13.0
Kenneth Farrow,19.6,69.6,0.5,4.6,31.1,0.0,0.2,12.6
Jamize Olawale,9.8,38.4,0.3,6.5,58.6,0.2,0.0,12.6
Shaun Draughn,17.7,65.8,0.3,4.5,35.2,0.1,0.1,12.1
C.J. Spiller,13.2,49.7,0.1,6.3,47.8,0.3,0.3,12.0
De'Angelo Henderson,16.9,64.4,0.3,3.6,37.1,0.0,0.1,11.8
Cameron Artis-Payne,16.1,64.2,0.7,1.0,12.3,0.0,0.1,11.3
Terron Ward,15.2,62.5,0.3,3.1,27.1,0.0,0.1,10.8
Ka'Deem Carey,17.7,68.1,0.4,2.2,18.7,0.0,0.1,10.7
Dwayne Washington,17.4,63.5,0.3,3.5,22.5,0.0,0.1,10.3
Travaris Cadet,3.3,13.7,0.0,10.9,81.0,0.1,0.1,10.2
Lorenzo Taliaferro,13.7,49.3,0.3,4.5,30.6,0.1,0.1,10.0
Fitzgerald Toussaint,15.8,59.8,0.1,3.9,32.7,0.0,0.1,9.8
Fozzy Whittaker,12.1,51.5,0.2,4.3,33.6,0.0,0.1,9.6
Tyler Ervin,5.4,20.8,0.1,6.7,55.1,0.2,0.0,9.5
Alex Collins,15.5,62.5,0.2,2.5,22.5,0.0,0.3,9.2
Brandon Wilds,13.4,49.5,0.3,2.6,22.3,0.0,0.1,8.9
Devante Mays,10.0,41.0,0.3,2.0,16.0,0.1,0.1,7.9
Darrel Young,4.4,18.6,0.2,3.9,33.6,0.2,0.0,7.6
Corey Grant,10.5,42.3,0.3,1.2,12.3,0.2,0.2,7.5
Mack Brown,9.0,39.0,0.4,2.2,14.4,0.0,0.1,7.4
Peyton Barber,10.7,45.0,0.3,2.0,14.3,0.0,0.2,7.2
Patrick DiMarco,5.0,18.0,0.1,5.2,39.5,0.1,0.0,7.2
Josh Ferguson,9.3,28.5,0.1,5.6,40.5,0.0,0.2,6.9
John Crockett,10.0,40.0,0.2,2.0,12.0,0.1,0.1,6.8
Kapri Bibbs,9.2,39.2,0.1,1.7,18.4,0.1,0.1,6.6
Derek Watt,3.9,15.9,0.2,3.5,38.6,0.0,0.0,6.4
Joe Banyard,9.8,33.6,0.1,3.7,21.8,0.0,0.0,6.2
Akeem Hunt,6.5,32.0,0.1,2.1,14.0,0.0,0.1,5.2
Khalfani Muhammad,8.3,30.8,0.1,1.3,9.6,0.1,0.1,5.1
Jalston Fowler,5.0,16.3,0.1,2.5,23.5,0.1,0.0,5.1
T.J. Logan,8.0,29.5,0.2,1.5,11.5,0.1,0.1,5.1
Raheem Mostert,6.4,26.8,0.2,2.1,14.0,0.0,0.2,4.9
Juwan Thompson,8.6,31.9,0.1,2.1,14.3,0.0,0.3,4.8
Knile Davis,8.8,29.2,0.0,2.6,17.7,0.0,0.1,4.7
Brandon Bolden,3.9,13.9,0.0,2.5,20.1,0.2,0.2,4.3
Rod Smith,3.4,12.0,0.1,2.4,16.5,0.1,0.0,4.1
Troymaine Pope,8.0,27.0,0.1,1.0,9.0,0.0,0.1,4.0
Keith Smith,4.2,16.1,0.2,2.2,14.2,0.0,0.0,3.9
James Develin,3.2,10.2,0.1,2.9,22.5,0.0,0.0,3.8
Daniel Lasco,6.3,21.7,0.1,2.3,13.6,0.0,0.1,3.7
Jay Prosch,2.8,9.9,0.1,2.5,21.7,0.0,0.0,3.5
Dan Vitale,3.1,11.1,0.1,2.5,16.2,0.0,0.0,3.1
Marcus Murphy,5.0,18.0,0.1,1.0,8.0,0.0,0.2,2.8
Anthony Sherman,2.6,10.3,0.0,1.6,10.1,0.0,0.0,2.3
Taiwan Jones,2.0,5.0,0.0,1.0,14.0,0.1,0.2,2.1
Aaron Green,2.0,7.0,0.0,1.0,9.0,0.0,0.0,1.6
Marquez Williams,2.0,7.0,0.0,1.0,7.0,0.0,0.0,1.4
Michael Burton,1.0,1.0,0.0,1.0,8.0,0.1,0.2,1.1
Sam Rogers,2.0,5.0,0.0,1.0,6.0,0.0,0.0,1.1
Austin Johnson,8.3,33.8,0.1,3.8,30.4,0.0,0.0,0.0
Terrell Watson,8.0,33.9,0.2,3.2,21.3,0.0,0.0,0.0
Joe Kerridge,4.4,14.7,0.1,2.8,16.6,0.0,0.0,0.0
Mike Davis,1.6,4.7,0.0,9.1,66.6,0.0,0.0,0.0
D.J. Foster,12.0,45.9,0.2,2.7,18.6,0.0,0.0,0.0
Senorise Perry,8.4,35.7,0.3,5.5,42.1,0.0,0.0,0.0
Cedric Peerman,15.8,55.9,0.3,7.0,43.5,0.0,0.0,0.0
Matt Jones,6.7,27.9,0.0,2.0,22.8,0.0,0.0,0.0
Storm Johnson,8.4,35.7,0.3,5.5,42.1,0.0,0.0,0.0
Byron Marshall,8.3,32.8,0.2,3.3,19.4,0.0,0.0,0.0
