,,,Passing,Rushing,Receiving,Misc,Fum,Fantasy
Player,Opp,GP,Yds,TD,Int,Yds,TD,Yds,TD,FumTD,2PT,Lost,Points
"Connor Cook QB - oak","@TEN","16","116.1","0.59","1.3","5.34","0.05","-","-","-","0.16","0.26","5.04"
"Matt Cassel QB - ten","OAK","16","98.15","0.74","1.11","-","0.03","-","-","-","0.19","0.11","5.01"
"Scott Tolzien QB - ind","@LA","16","97.77","0.59","0.99","0.03","0.04","-","-","-","0.19","0.14","4.63"
"Brandon Weeden QB - hou","JAX","16","106.46","0.45","0.9","-","0.04","-","-","-","0.2","0.15","4.60"
"Matt Schaub QB - atl","@CHI","16","80.14","0.64","0.89","0.64","0.04","-","-","-","0.18","0.05","4.55"
"Colt McCoy QB - was","PHI","16","82.68","0.57","0.74","0.16","0.02","-","-","-","0.2","0.08","4.48"
"Ryan Mallett QB - bal","@CIN","16","100.75","0.58","1.09","0.11","0.03","-","-","-","0.16","0.19","4.30"
"Drew Stanton QB - ari","@DET","16","92.79","0.66","1.18","-","0.03","-","-","-","0.18","0.12","4.29"
"Matt Moore QB - mia","TB","16","78.17","0.63","0.9","0.07","0.02","-","-","-","0.16","0.07","4.15"
"Kellen Clemens QB - lac","@DEN","16","64.53","0.58","0.76","0.55","0.04","-","-","-","0.17","0.04","3.94"
"Chad Henne QB - jax","@HOU","16","70.78","0.58","0.77","-","0.02","-","-","-","0.16","0.07","3.91"
"Case Keenum QB - min","NO","12","78.27","0.44","0.7","0.43","0.04","-","-","-","0.16","0.12","3.85"
"Teddy Bridgewater QB - min","NO","4","36.41","0.32","0.28","10","0.11","-","-","-","0.06","0.09","3.78"
"Brock Osweiler QB - cle","PIT","1","21.76","0.21","0.17","4.02","0.04","-","-","-","0.03","0.05","1.97"
"C.J. Beathard QB - sf","CAR","-","-","-","-","-","-","-","-","-","-","-","0.00"
"Tyler Bray QB - kc","@NE","-","-","-","-","-","-","-","-","-","-","-","0.00"
"Jacoby Brissett QB - ne  View News","KC","-","-","-","-","-","-","-","-","-","-","-","0.00"
"Chase Daniel QB - no","@MIN","-","-","-","-","-","-","-","-","-","-","-","0.00"
"Joshua Dobbs QB - pit","@CLE","-","-","-","-","-","-","-","-","-","-","-","0.00"
"Jeff Driskel QB - cin","BAL","-","-","-","-","-","-","-","-","-","-","-","0.00"
"Blaine Gabbert QB - ari","@DET","-","-","-","-","-","-","-","-","-","-","-","0.00"
"Robert Griffin III QB","Bye","-","-","-","-","-","-","-","-","-","-","-","0.00"
"Christian Hackenberg QB - nyj","@BUF","-","-","-","-","-","-","-","-","-","-","-","0.00"
"Shaun Hill QB","Bye","-","-","-","-","-","-","-","-","-","-","-","0.00"
"Brad Kaaya QB - det","ARI","-","-","-","-","-","-","-","-","-","-","-","0.00"
"Colin Kaepernick QB","Bye","-","-","-","-","-","-","-","-","-","-","-","0.00"
"Chad Kelly QB - den","LAC","-","-","-","-","-","-","-","-","-","-","-","0.00"
"DeShone Kizer QB - cle","PIT","-","-","-","-","-","-","-","-","-","-","-","0.00"
