"Rank","Player","Team","Bye","Best","Worst","Avg","Std Dev","ADP","vs. ADP"
"81","Branden Oliver","LAC","9","63","95","78.7","7.6","86.0","+5.0"
"82","Wayne Gallman","NYG","8","55","103","78.7","9.4","99.0","+17.0"
"83","Javorius Allen","BAL","10","54","100","79.0","9.6","92.0","+9.0"
"84","Jeremy Langford","CHI","9","57","104","79.1","10.5","84.0","0.0"
"85","Damien Williams","MIA","11","68","96","79.1","7.9","97.0","+12.0"
"86","Kenyan Drake","MIA","11","60","100","79.1","9.1","82.0","-4.0"
"87","Orleans Darkwa","NYG","8","51","182","79.9","22.4","94.0","+7.0"
"88","Kyle Juszczyk","SF","11","55","126","81.2","12.7","72.0","-16.0"
"89","Jeremy McNichols","TB","11","51","203","82.0","20.3","83.0","-6.0"
"90","Chris Johnson","ARI","8","58","104","82.5","9.3","85.0","-5.0"
"91","DeAngelo Williams","FA","","62","149","84.1","17.7","98.0","+7.0"
"92","Aaron Jones","GB","8","62","129","84.5","12.0","75.0","-17.0"
"93","Matt Jones","WAS","5","59","127","84.9","13.4","93.0","0.0"
"94","Alfred Blue","HOU","7","62","107","84.9","10.5","106.0","+12.0"
"95","Donnel Pumphrey","PHI","10","69","117","85.2","10.1","79.0","-16.0"
"96","Andre Ellington","ARI","8","68","110","85.2","8.0","",""
"97","Matt Breida","SF","11","52","118","85.7","19.4","",""
"98","Benny Cunningham","CHI","9","67","122","87.6","9.8","",""
"99","Malcolm Brown","LAR","8","67","107","87.6","10.2","105.0","+6.0"
"100","Lance Dunbar","LAR","8","73","175","87.7","15.4","108.0","+8.0"
"101","James Starks","FA","","72","102","87.9","10.0","100.0","-1.0"
"102","Kerwynn Williams","ARI","8","73","123","89.0","12.4","",""
"103","Matthew Dayes","CLE","9","77","104","89.3","11.1","",""
"104","Dwayne Washington","DET","7","58","171","91.0","19.2","",""
"105","Elijah McGuire","NYJ","11","68","107","91.2","9.0","",""
"106","C.J. Spiller","KC","10","71","180","92.4","22.8","81.0","-25.0"
"107","Cameron Artis-Payne","CAR","11","65","126","94.5","14.2","101.0","-6.0"
"108","Corey Clement","PHI","10","65","174","95.3","32.0","",""
"109","Rashad Jennings","FA","","70","150","95.3","18.8","103.0","-6.0"
"110","Kenneth Farrow","LAC","9","72","128","95.5","12.9","",""
"111","Mike Tolbert","BUF","6","76","122","96.3","11.8","",""
"112","Shaun Draughn","NYG","8","77","124","96.6","13.0","102.0","-10.0"
"113","John Kuhn","NO","5","75","114","97.0","11.5","",""
"114","Aaron Ripkowski","GB","8","78","109","97.0","8.6","",""
"115","Karlos Williams","FA","","92","103","97.0","4.1","",""
"116","Khiry Robinson","FA","","92","109","98.0","7.8","",""
"117","Reggie Bush","FA","","92","115","100.0","10.6","",""
"118","Ronnie Hillman","DAL","6","77","132","100.1","19.3","",""
"119","Fitzgerald Toussaint","PIT","9","78","126","100.5","12.5","104.0","-15.0"
"120","Corey Grant","JAC","8","76","163","100.9","21.6","",""
"121","Brian Hill","ATL","5","71","122","102.2","13.6","",""
"122","Fozzy Whittaker","CAR","11","92","118","103.3","6.7","",""
"123","Lorenzo Taliaferro","BAL","10","74","129","103.5","17.4","",""
