"Rank","Player","Team","Bye","Best","Worst","Avg","Std Dev","ADP","vs. ADP"
"173","Jace Billingsley","DET","7","128","185","153.5","20.4","",""
"174","Keith Mumphery","FA","","144","163","153.5","9.5","",""
"175","Cobi Hamilton","PIT","9","128","181","154.6","20.0","",""
"176","Brenton Bersin","CAR","11","140","168","156.0","10.5","",""
"177","Josh Huff","TB","11","145","168","156.3","7.5","",""
"178","Nick Williams","ATL","5","149","163","156.5","5.4","",""
"179","Lucky Whitehead","NYJ","11","136","188","158.7","16.9","",""
"180","Chris Matthews","BAL","10","137","192","161.3","19.3","",""
"181","Josh Bellamy","CHI","9","141","200","161.4","17.2","",""
"182","Maurice Harris","WAS","5","130","196","163.0","33.0","",""
"183","Harry Douglas","TEN","8","128","205","163.3","23.9","",""
"184","Jordan Payton","CLE","9","144","181","164.3","14.2","",""
"185","Brandon Tate","BUF","6","142","187","165.5","17.9","",""
"186","Trevor Davis","GB","8","142","195","167.0","21.7","",""
"187","DeAndre Smelter","SF","11","122","197","168.0","26.9","",""
"188","Quinton Patton","NYJ","11","153","196","168.7","19.4","",""
"189","Walter Powell","BUF","6","131","211","168.8","26.1","",""
"190","Freddie Martino","TB","11","158","183","169.3","10.3","",""
"191","Rodney Adams","MIN","9","156","197","170.3","18.9","",""
"192","Arrelious Benn","JAC","8","137","200","170.4","21.1","",""
"193","Johnny Holton","OAK","10","148","204","172.2","20.4","",""
"194","Kenbrell Thompkins","NYJ","11","159","189","174.0","15.0","",""
"195","Isaiah Burse","LAC","9","171","179","175.0","4.0","",""
"196","Corey Fuller","NO","5","127","207","175.4","27.8","",""
"197","Noah Brown","DAL","6","152","196","176.0","16.2","",""
"198","Dwayne Harris","NYG","8","115","342","176.2","61.5","",""
"199","Shelton Gibson","PHI","10","118","248","177.8","42.2","",""
"200","DeAngelo Yancey","GB","8","127","294","180.2","60.2","",""
"201","Robert Davis","WAS","5","89","267","180.8","58.3","",""
"202","Keshawn Martin","DET","7","139","243","180.8","35.1","",""
"203","Alex Erickson","CIN","6","174","203","183.5","11.5","",""
"204","Demarcus Ayers","PIT","9","184","184","184.0","0.0","",""
"205","Josh Malone","CIN","6","157","229","184.2","27.8","",""
"206","Bryce Treggs","PHI","10","176","192","186.0","7.1","",""
"207","Dezmin Lewis","BUF","6","174","199","189.0","10.8","",""
"208","Quan Bray","IND","11","178","201","190.0","9.4","",""
"209","Jakeem Grant","MIA","11","119","299","190.6","59.7","",""
"210","Daniel Braverman","CHI","9","186","199","192.8","4.6","",""
"211","Isaiah McKenzie","DEN","5","155","242","195.7","35.7","",""
"212","Austin Carr","NE","9","130","263","196.5","66.5","110.0","-102.0"
"213","Aaron Dobson","ARI","8","186","214","200.0","14.0","",""
"214","Geremy Davis","LAC","9","195","209","202.0","7.0","",""
"215","Krishawn Hogan","ARI","8","195","213","204.0","9.0","",""
"216","Malachi Dupre","GB","8","128","357","209.8","88.0","",""
"217","Mario Alford","CLE","9","160","361","212.0","75.0","",""
"218","Paul McRoberts","LAR","8","211","215","213.0","2.0","",""
"219","Rannell Hall","CLE","9","189","250","219.5","30.5","",""
"220","Devin Lucien","NE","9","181","262","221.5","40.5","",""
"221","Jeremy Butler","BUF","6","172","289","222.0","49.3","",""
"222","Nelson Spruce","LAR","8","118","367","229.3","103.3","",""
"223","Stacy Coley","MIN","9","208","255","231.5","23.5","",""
"224","Rashawn Scott","MIA","11","169","324","234.3","65.6","",""
"225","Tre McBride","TEN","8","169","363","235.0","90.5","",""
"226","DeAndre Carter","SF","11","187","293","240.0","53.0","",""
"227","Donteea Dye","TB","11","183","359","243.7","81.6","",""
"228","Seantavius Jones","KC","10","182","309","245.5","63.5","",""
"229","Louis Murphy","SF","11","207","285","246.0","39.0","",""
"230","Kenny Lawler","SEA","6","165","336","250.5","85.5","",""
"231","Rashad Ross","BUF","6","206","305","255.5","49.5","",""
"232","Eric Weems","TEN","8","151","366","258.5","107.5","",""
"233","Vince Mayle","BAL","10","146","373","259.5","113.5","",""
"234","Bug Howard","IND","11","191","338","264.5","73.5","",""
"235","Darius Jennings","TEN","8","176","372","274.0","98.0","",""
""
""
