Player,RUSH ATT,RUSH YDS,RUSH TDS,REC,REC YDS,REC TDS,FL,Points,Value,ADP,STD DEV,ADP DIF
Chris Thompson,57.9,273.4,1.7,47.7,358.4,2.0,1.3,82.78,-27.9766666667,71.0,9.0,10.0
Thomas Rawls,119.1,482.2,4.1,13.0,100.4,0.2,1.0,82.06,-28.6966666667,39.0,7.2,-2.0
C.J. Prosise,54.3,246.9,2.0,38.0,358.4,1.4,1.0,78.93,-31.8266666667,50.0,7.5,2.0
Shane Vereen,67.3,287.7,1.5,40.7,322.7,1.9,2.3,76.84,-33.9166666667,69.0,10.6,13.0
Samaje Perine,110.1,446.6,3.5,13.1,104.0,0.2,1.4,74.46,-36.2966666667,41.0,9.1,-2.0
Jamaal Williams,107.8,450.2,3.6,11.4,84.2,0.2,1.3,73.64,-37.1166666667,44.0,9.9,-6.0
Rex Burkhead,92.3,388.8,3.0,17.5,142.7,0.7,1.3,72.75,-38.0066666667,52.0,10.9,3.0
Jeremy Hill,110.5,432.8,3.8,10.3,75.9,0.1,1.2,71.87,-38.8866666667,48.0,8.0,3.0
Latavius Murray,105.7,419.6,3.3,15.7,109.1,0.2,1.7,70.47,-40.2866666667,47.0,9.0,-4.0
DeAndre Washington,89.8,420.2,2.3,19.3,141.0,0.6,1.6,70.32,-40.4366666667,60.0,8.8,5.0
Charles Sims,69.5,267.7,1.3,32.9,286.7,1.6,1.8,69.24,-41.5166666667,67.0,8.3,-2.0
Dion Lewis,79.7,347.4,2.3,24.2,187.3,1.0,2.4,68.47,-42.2866666667,62.0,9.2,3.0
Robert Turbin,73.4,281.4,3.0,23.7,170.5,1.2,1.1,68.19,-42.5666666667,74.0,10.9,9.0
Jacquizz Rodgers,103.3,440.0,2.3,14.9,106.1,0.1,1.2,66.61,-44.1466666667,42.0,7.6,-5.0
Jonathan Williams,93.0,394.0,3.4,11.1,76.7,0.2,2.9,62.87,-47.8866666667,53.0,10.0,-1.0
Jalen Richard,61.2,299.2,1.6,23.9,177.8,0.9,1.1,60.5,-50.2566666667,64.0,7.1,-3.0
Alvin Kamara,47.8,204.3,1.7,30.5,251.5,1.2,1.3,60.38,-50.3766666667,63.0,8.2,3.0
T.J. Yeldon,63.3,241.3,1.2,33.3,233.1,0.9,1.3,57.44,-53.3166666667,68.0,7.6,-9.0
Wendell Smallwood,84.1,344.3,2.1,13.4,98.3,0.4,1.2,56.86,-53.8966666667,61.0,11.4,4.0
Tim Hightower,78.9,313.2,2.3,12.9,103.2,0.2,1.3,54.04,-56.7166666667,87.0,9.2,17.0
D'Onta Foreman,81.4,325.6,2.3,12.9,91.2,0.1,1.2,53.68,-57.0766666667,55.0,8.4,-3.0
Charcandrick West,77.9,304.0,2.0,14.3,112.5,0.3,0.9,53.65,-57.1066666667,91.0,13.4,23.0
Marlon Mack,63.9,256.7,1.9,17.4,135.3,0.5,0.7,52.2,-58.5566666667,56.0,10.6,-6.0
Devontae Booker,71.9,279.2,1.5,16.0,128.5,0.6,2.5,48.37,-62.3866666667,65.0,9.6,-1.0
Damien Williams,45.6,169.2,1.3,17.7,153.3,1.4,0.9,46.65,-64.1066666667,97.0,7.9,12.0
Jerick McKinnon,53.1,210.2,0.8,23.9,163.7,0.9,1.2,45.19,-65.5666666667,89.0,8.5,17.0
Tarik Cohen,53.0,233.3,1.3,15.5,124.2,0.3,1.0,43.35,-67.4066666667,73.0,11.7,-7.0
Matt Breida,47.0,188.7,1.1,19.3,148.7,0.0,0.0,40.34,-70.4166666667,,19.4,
Alfred Morris,62.7,261.8,1.6,5.7,36.1,0.1,0.3,39.39,-71.3666666667,70.0,9.8,-6.0
James Conner,51.0,204.9,1.9,8.2,64.1,0.1,0.5,37.9,-72.8566666667,59.0,8.8,-16.0
Zach Zenner,45.1,169.0,1.7,11.8,99.8,0.1,0.2,37.28,-73.4766666667,77.0,8.0,3.0
Joe Williams,55.8,227.7,1.2,9.9,75.2,0.3,1.5,36.29,-74.4666666667,54.0,9.9,-10.0
