Player,ATT,RUSH YDS,RUSH TDS,REC,REC YDS,REC TDS,FL,Points,Value,ADP,STD DEV
Adam Humphries,2.3,13.3,0.0,33.0,365.8,2.0,0.2,49.51,-66.3333333333,107.0,12.3
Phillip Dorsett,1.5,9.0,0.0,25.7,367.7,2.0,0.2,49.27,-66.5733333333,102.0,11.4
Charone Peake,0.0,0.0,0.0,32.8,388.6,1.7,0.2,48.66,-67.1833333333,111.0,10.1
Albert Wilson,1.4,10.0,0.1,33.0,352.5,1.8,0.2,47.25,-68.5933333333,,10.5
Jermaine Kearse,0.0,0.0,0.0,28.0,360.1,1.9,0.1,47.21,-68.6333333333,101.0,9.0
Will Fuller,0.5,3.3,0.0,27.5,356.3,1.9,0.2,46.96,-68.8833333333,78.0,12.9
Braxton Miller,3.2,17.8,0.1,30.3,333.9,1.9,0.2,46.77,-69.0733333333,96.0,11.7
Paul Richardson,0.6,2.2,0.0,25.6,343.7,1.9,0.1,45.79,-70.0533333333,84.0,11.9
Markus Wheaton,0.1,0.7,0.0,26.4,356.2,1.9,0.6,45.89,-69.9533333333,108.0,14.5
Brandon Coleman,0.0,0.0,0.0,25.3,319.9,2.2,0.2,44.79,-71.0533333333,81.0,9.3
Malcolm Mitchell,0.0,0.1,0.0,25.0,315.5,2.1,0.2,43.76,-72.0833333333,74.0,13.4
Carlos Henderson,0.0,0.0,0.0,25.7,340.0,1.8,0.4,44.0,-71.8433333333,80.0,12.9
Jaron Brown,0.0,0.0,0.0,24.6,327.6,1.8,0.2,43.16,-72.6833333333,93.0,16.6
Danny Amendola,0.0,0.0,0.0,28.5,316.8,2.2,1.1,42.68,-73.1633333333,63.0,18.7
Chris Godwin,0.0,0.0,0.0,25.7,330.8,1.8,0.3,43.28,-72.5633333333,73.0,15.7
Mike Williams,0.0,0.0,0.0,22.6,301.6,1.9,0.3,40.96,-74.8833333333,70.0,16.9
Andre Holmes,0.0,0.0,0.0,19.9,275.9,2.0,0.2,39.19,-76.6533333333,,9.1
Jaelen Strong,0.0,0.2,0.0,26.4,308.3,1.4,0.2,38.85,-76.9933333333,,15.1
Kamar Aiken,0.0,0.0,0.0,21.7,278.7,1.7,0.2,37.67,-78.1733333333,97.0,11.2
JuJu Smith-Schuster,0.0,0.0,0.0,21.6,279.7,1.3,0.2,35.37,-80.4733333333,94.0,15.1
Taywan Taylor,0.0,0.3,0.0,20.4,257.9,1.7,0.3,35.42,-80.4233333333,,15.4
Dede Westbrook,0.0,0.0,0.0,22.0,277.9,1.4,0.4,35.39,-80.4533333333,109.0,14.7
Brice Butler,0.0,0.0,0.0,16.6,235.5,1.9,0.2,34.55,-81.2933333333,,11.6
Geronimo Allison,0.0,-0.1,0.0,17.4,242.3,1.7,0.2,34.02,-81.8233333333,90.0,14.9
Rod Streater,0.0,0.0,0.0,18.3,235.0,1.6,0.2,32.7,-83.1433333333,,16.3
Russell Shepard,1.5,5.9,0.0,17.2,235.2,1.3,0.2,31.51,-84.3333333333,,9.8
Victor Cruz,0.3,1.7,0.0,20.2,277.8,0.8,0.8,31.15,-84.6933333333,92.0,19.7
Dontrelle Inman,0.0,0.0,0.0,17.2,238.6,1.2,0.3,30.46,-85.3833333333,103.0,11.5
Cordarrelle Patterson,4.9,36.5,0.1,18.9,192.9,1.2,0.2,30.34,-85.5033333333,99.0,10.2
Ricardo Louis,0.0,-0.1,0.0,22.0,258.0,0.8,0.2,30.19,-85.6533333333,,16.5
Chad Hansen,0.0,0.0,0.0,17.5,226.5,1.1,0.3,28.65,-87.1933333333,112.0,13.2
Justin Hardy,0.0,0.0,0.0,16.1,191.1,1.6,0.1,28.51,-87.3333333333,116.0,10.9
Philly Brown,1.0,3.6,0.0,15.4,181.0,1.6,0.2,27.66,-88.1833333333,,9.4
Aldrick Robinson,1.0,5.8,0.0,14.5,207.9,1.1,0.2,27.57,-88.2733333333,,12.8
Michael Floyd,0.0,0.0,0.0,15.8,195.3,1.3,0.1,27.13,-88.7133333333,98.0,16.0
TJ Jones,0.1,0.2,0.0,16.5,211.3,1.3,0.9,27.15,-88.6933333333,,7.9
Chester Rogers,0.0,0.0,0.0,15.5,204.8,1.1,0.2,26.68,-89.1633333333,,23.1
Justin Hunter,0.0,0.0,0.0,12.1,165.0,1.5,0.2,25.1,-90.7433333333,,37.9
Jalin Marshall,0.0,0.0,0.0,16.2,194.3,1.0,0.9,23.63,-92.2133333333,,13.9
Chad Williams,0.0,0.0,0.0,13.9,177.1,1.0,0.4,22.91,-92.9333333333,,17.7
Brian Quick,0.0,0.0,0.0,14.3,181.7,0.7,0.1,22.17,-93.6733333333,,17.4
Demarcus Robinson,0.0,0.0,0.0,12.2,157.8,0.9,0.1,20.98,-94.8633333333,,22.1
Chris Moore,1.1,7.4,0.0,13.9,158.9,0.5,0.1,19.43,-96.4133333333,,7.6
Bennie Fowler,0.0,0.0,0.0,12.7,157.1,0.6,0.1,19.11,-96.7333333333,113.0,10.3
Sammie Coates,1.3,9.9,0.1,8.2,141.1,0.6,0.1,19.1,-96.7433333333,,21.0
Kasen Williams,0.1,-0.2,0.0,11.6,141.4,0.7,0.0,18.32,-97.5233333333,,34.5
Roger Lewis,0.0,0.0,0.0,11.5,144.2,0.7,0.2,18.22,-97.6233333333,,7.4
Rashard Higgins,0.0,0.0,0.0,11.6,139.7,0.7,0.1,17.97,-97.8733333333,,18.9
Deonte Thompson,0.0,0.0,0.0,11.8,140.3,0.8,0.4,18.03,-97.8133333333,,31.2
Jarius Wright,0.1,0.3,0.0,13.7,156.1,0.2,0.1,16.64,-99.2033333333,,11.4
Jordan Taylor,0.0,0.0,0.0,9.4,130.2,0.7,0.4,16.42,-99.4233333333,,24.7
Andre Roberts,0.0,0.0,0.0,9.5,122.6,0.8,0.3,16.46,-99.3833333333,,20.9
Chris Harper,0.0,0.0,0.0,11.2,136.5,0.5,0.3,16.05,-99.7933333333,,34.5
Jared Abbrederis,0.2,2.3,0.0,12.3,141.3,0.3,0.0,16.16,-99.6833333333,,36.2
Tajae Sharpe,0.0,0.2,0.0,10.2,126.1,0.6,0.1,16.03,-99.8133333333,95.0,19.4
Josh Reynolds,0.0,0.0,0.0,9.3,119.0,0.7,0.3,15.5,-100.343333333,114.0,20.3
Darrius Heyward-Bey,0.2,4.7,0.0,6.8,112.1,0.5,0.0,14.68,-101.163333333,,25.9
Cobi Hamilton,0.0,0.0,0.0,6.4,89.4,0.9,0.0,14.34,-101.503333333,,20.0
Ryan Grant,0.0,0.1,0.0,9.0,117.2,0.4,0.2,13.73,-102.113333333,,11.5
Tanner McEvoy,0.0,0.0,0.0,4.9,73.6,1.1,0.1,13.76,-102.083333333,,
Michael Campanaro,1.8,10.2,0.0,8.8,99.9,0.4,0.1,13.21,-102.633333333,,13.1
Pharoh Cooper,1.0,5.0,0.0,10.1,107.6,0.2,0.2,12.06,-103.783333333,,28.1
Myles White,0.0,-0.1,0.0,7.5,93.6,0.5,0.0,12.35,-103.493333333,,
Cody Latimer,0.0,0.0,0.0,9.6,104.8,0.3,0.1,12.08,-103.763333333,,15.2
