Player,REC,REC YDS,REC TDS,FL,Points,Value,ADP,STD DEV,ADP DIF
Ben Koyack,9.0,87.6,0.6,0.1,12.16,-82.4066666667,,9.3,
Brent Celek,9.6,107.0,0.3,0.1,12.3,-82.2666666667,,9.1,
Jeff Heuerman,8.5,93.6,0.4,0.1,11.56,-83.0066666667,,11.5,
Rhett Ellison,8.4,86.0,0.6,0.1,12.0,-82.5666666667,,15.3,
Chris Manhertz,5.5,65.9,0.7,0.0,10.79,-83.7766666667,,,
D.J. Tialavea,5.8,69.2,0.7,0.0,11.12,-83.4466666667,,,
C.J. Uzomah,8.7,87.4,0.4,0.1,10.94,-83.6266666667,,10.8,
Michael Roberts,8.4,87.5,0.3,0.0,10.55,-84.0166666667,,16.9,
Gavin Escobar,9.7,95.8,0.6,1.2,10.78,-83.7866666667,,16.2,
Ross Travis,6.7,73.4,0.5,0.1,10.14,-84.4266666667,,4.5,
Jake Butt,5.4,59.3,0.6,0.0,9.53,-85.0366666667,38.0,16.0,-28.0
Jerell Adams,8.9,82.9,0.2,0.1,9.29,-85.2766666667,,13.3,
Geoff Swaim,6.7,67.0,0.5,0.1,9.5,-85.0666666667,,13.5,
Joshua Perkins,3.7,53.0,0.6,0.0,8.9,-85.6666666667,,,
Nick Vannett,6.5,68.6,0.4,0.0,9.26,-85.3066666667,,12.9,
Cole Wick,7.4,73.0,0.2,0.0,8.5,-86.0666666667,,5.7,
Eric Tomlinson,5.8,61.3,0.4,0.0,8.53,-86.0366666667,,,
James Hanna,7.0,70.9,0.2,0.0,8.29,-86.2766666667,,9.2,
David Johnson,5.9,63.0,0.4,0.3,8.1,-86.4666666667,,7.6,
Daniel Brown,7.7,69.7,0.2,0.1,7.97,-86.5966666667,,11.7,
Niles Paul,5.4,64.9,0.2,0.1,7.49,-87.0766666667,,17.1,
Asante Cleveland,5.5,51.4,0.4,0.0,7.54,-87.0266666667,,,
Neal Sterling,8.0,73.0,0.1,0.1,7.7,-86.8666666667,,,
John Phillips,6.3,46.5,0.5,0.1,7.45,-87.1166666667,,,
Ifeanyi Momah,4.2,55.1,0.4,0.1,7.71,-86.8566666667,,3.0,
Tyler Kroft,6.6,66.8,0.2,0.1,7.68,-86.8866666667,,12.5,
Alan Cross,4.4,43.2,0.5,0.0,7.32,-87.2466666667,,,
Cooper Helfet,4.8,47.9,0.4,0.0,7.19,-87.3766666667,,,
Logan Thomas,5.0,62.0,0.2,0.0,7.4,-87.1666666667,,,
Michael Hoomanawanui,5.1,46.1,0.5,0.3,7.01,-87.5566666667,,6.2,
Sean McGrath,3.8,45.1,0.4,0.1,6.71,-87.8566666667,,,
Randall Telfer,6.0,55.5,0.2,0.1,6.55,-88.0166666667,,8.3,
Jeremy Sprinkle,5.0,48.0,0.3,0.0,6.6,-87.9666666667,,,
Bucky Hodges,5.1,52.3,0.2,0.0,6.43,-88.1366666667,,15.4,
Matt LaCosse,5.2,47.8,0.3,0.0,6.58,-87.9866666667,,,
Alex Ellis,5.4,42.3,0.4,0.0,6.63,-87.9366666667,,,
Mason Schreck,4.0,41.0,0.3,0.0,5.9,-88.6666666667,,,
Ben Braunecker,4.5,45.8,0.2,0.1,5.58,-88.9866666667,,,
Hakeem Valles,4.4,43.9,0.2,0.0,5.59,-88.9766666667,,,
MyCole Pruitt,6.0,50.0,0.1,0.1,5.4,-89.1666666667,,22.0,
Lee Smith,5.1,37.7,0.3,0.1,5.37,-89.1966666667,,7.6,
Luke Stocker,5.7,40.9,0.2,0.1,5.09,-89.4766666667,,2.9,
James O'Shaughnessy,4.7,47.2,0.1,0.1,5.12,-89.4466666667,,8.2,
Eric Saubert,3.7,40.7,0.2,0.0,5.27,-89.2966666667,,7.8,
Derek Carrier,4.6,37.1,0.2,0.1,4.71,-89.8566666667,,,
Clay Harbor,5.0,35.3,0.3,0.1,5.13,-89.4366666667,,,
Brandon Williams,3.4,38.2,0.2,0.1,4.82,-89.7466666667,,,
Cory Harkey,4.3,31.6,0.3,0.1,4.76,-89.8066666667,,,
Khari Lee,4.0,35.0,0.2,0.0,4.7,-89.8666666667,,,
Blake Bell,2.6,37.0,0.2,0.1,4.7,-89.8666666667,,18.2,
Phillip Supernaw,3.4,38.3,0.1,0.2,4.03,-90.5366666667,,3.9,
Braedon Bowman,3.0,27.0,0.2,0.0,3.9,-90.6666666667,,,
Temarrick Hemingway,3.0,29.3,0.1,0.0,3.53,-91.0366666667,,9.2,
Scott Simonson,3.0,31.0,0.0,0.0,3.1,-91.4666666667,,,
Ryan Hewitt,3.0,24.5,0.0,0.1,2.25,-92.3166666667,,10.0,
