RNK,Player,C/A,YDS,TD,INT,RUSH,YDS.1,TD.1,REC,YDS.2,TD.2,Points
65,Marquise Goodwin,0/0,0,0,0,1.9,11.6,0.0,47.8,716.4,2.9,137.7
66,Josh Doctson,0/0,0,0,0,0.0,0.0,0.0,47.6,652.8,3.9,136.1
67,Kenny Stills,0/0,0,0,0,0.0,0.0,0.0,43.0,667.3,4.3,135.1
68,Markus Wheaton,0/0,0,0,0,0.0,0.0,0.0,46.0,627.0,3.1,126.9
70,Terrance Williams,0/0,0,0,0,0.0,0.0,0.0,40.5,619.1,3.7,123.9
71,Danny Amendola,0/0,0,0,0,2.1,13.5,0.1,43.4,533.5,4.1,123.2
72,Robert Woods,0/0,0,0,0,0.0,0.0,0.0,49.3,559.1,2.5,120.1
73,Kendall Wright,0/0,0,0,0,1.6,10.1,0.0,47.9,546.0,2.5,117.9
74,Curtis Samuel,0/0,0,0,0,31.1,158.7,1.1,36.5,438.8,2.4,116.7
75,Charone Peake,0/0,0,0,0,0.0,0.0,0.0,46.8,543.8,2.1,113.7
76,Braxton Miller,0/0,0,0,0,8.8,55.3,0.2,41.4,458.2,3.1,112.5
77,Albert Wilson,0/0,0,0,0,1.9,12.0,0.1,42.8,497.3,2.7,110.0
78,Cooper Kupp,0/0,0,0,0,0.0,0.0,0.0,45.6,507.6,2.3,109.8
79,Carlos Henderson,0/0,0,0,0,0.0,0.0,0.0,41.6,518.8,2.6,109.6
80,Allen Hurns,0/0,0,0,0,0.0,0.0,0.0,38.6,526.3,2.7,106.7
81,Laquon Treadwell,0/0,0,0,0,0.0,0.0,0.0,41.3,470.6,2.8,104.9
82,Tyler Boyd,0/0,0,0,0,2.2,13.6,0.1,40.1,453.2,2.4,101.4
83,Tavon Austin,0/0,0,0,0,24.6,170.3,0.8,30.8,362.7,1.5,99.4
84,Andre Holmes,0/0,0,0,0,0.0,0.0,0.0,32.2,460.4,3.5,99.1
85,Chester Rogers,0/0,0,0,0,0.0,0.0,0.0,34.5,449.3,3.2,99.0
