RNK,Player,C/A,YDS,TD,INT,RUSH,YDS.1,TD.1,REC,YDS.2,TD.2,Points
62,Nick O'Leary,0/0,0,0,0,0,0,0,9.7,98.2,0.8,24.1
88,Nick Vannett,0/0,0,0,0,0,0,0,3.3,34.1,0.3,8.7
24,O.J. Howard,0/0,0,0,0,0,0,0,42.4,435.1,3.9,109.5
99,Phillip Supernaw,0/0,0,0,0,0,0,0,1.6,16.5,0.2,4.2
98,Randall Telfer,0/0,0,0,0,0,0,0,1.8,17.9,0.1,4.2
53,Rhett Ellison,0/0,0,0,0,0,0,0,12.3,121.8,0.9,29.7
83,Richard Rodgers,0/0,0,0,0,0,0,0,3.7,38.2,0.4,10.1
2,Rob Gronkowski,0/0,0,0,0,0,0,0,67.3,1028.1,9.0,223.6
90,Ross Travis,0/0,0,0,0,0,0,0,3.4,33.2,0.2,8.1
37,Ryan Griffin,0/0,0,0,0,0,0,0,24.6,272.0,1.3,59.6
38,Seth DeValve,0/0,0,0,0,0,0,0,25.8,250.3,1.4,59.3
71,Stephen Anderson,0/0,0,0,0,0,0,0,7.3,78.6,0.5,18.1
72,Temarrick Hemingway,0/0,0,0,0,0,0,0,7.0,72.7,0.5,16.9
4,Travis Kelce,0/0,0,0,0,0,0,0,83.7,1040.7,4.7,215.9
46,Trey Burton,0/0,0,0,0,0,0,0,15.5,154.6,1.0,36.7
51,Troy Niklas,0/0,0,0,0,0,0,0,12.1,130.2,1.0,31.3
13,Tyler Eifert,0/0,0,0,0,0,0,0,57.4,618.9,5.2,149.9
36,Tyler Higbee,0/0,0,0,0,0,0,0,24.5,252.2,1.9,61.1
97,Tyler Kroft,0/0,0,0,0,0,0,0,1.8,17.2,0.1,4.3
35,Vance McDonald,0/0,0,0,0,0,0,0,23.0,289.6,1.6,61.4
33,Vernon Davis,0/0,0,0,0,0,0,0,23.2,319.7,1.9,66.3
47,Virgil Green,0/0,0,0,0,0,0,0,15.3,155.7,1.0,36.7
93,Will Tye,0/0,0,0,0,0,0,0,2.0,20.3,0.2,5.0
45,Xavier Grimble,0/0,0,0,0,0,0,0,18.0,194.2,1.7,47.7
8,Zach Ertz,0/0,0,0,0,0,0,0,69.0,719.7,4.2,166.6
23,Zach Miller,0/0,0,0,0,0,0,0,45.4,475.6,3.3,112.8
