RNK,Player,C/A,YDS,TD,INT,RUSH,YDS.1,TD.1,REC,YDS.2,TD.2,Points
65,Tarik Cohen,0/0,0,0,0,71.3,289.3,1.9,14.7,116.1,0.4,67.8
66,Damien Williams,0/0,0,0,0,28.7,114.8,1.0,21.6,180.9,1.4,65.1
67,Thomas Rawls,0/0,0,0,0,93.8,417.7,2.6,3.7,30.8,0.1,64.7
68,Devontae Booker,0/0,0,0,0,74.9,295.2,1.8,12.7,104.8,0.4,64.3
69,Tim Hightower,0/0,0,0,0,71.4,282.8,2.1,12.0,93.7,0.4,64.0
70,D'Onta Foreman,0/0,0,0,0,97.1,385.4,3.0,4.1,35.4,0.1,63.2
71,Kenyan Drake,0/0,0,0,0,65.6,279.8,1.9,10.8,87.7,0.3,62.5
72,Branden Oliver,0/0,0,0,0,28.7,112.9,0.7,21.4,167.5,0.9,59.5
73,Jeremy Hill,0/0,0,0,0,77.6,317.2,2.8,4.0,30.9,0.1,56.0
74,Samaje Perine,0/0,0,0,0,61.2,234.1,2.4,6.3,54.3,0.1,49.8
75,James Conner,0/0,0,0,0,59.9,235.4,2.7,4.3,35.7,0.1,47.6
76,Andre Williams,0/0,0,0,0,69.8,256.5,1.7,6.1,51.1,0.2,46.6
77,Marlon Mack,0/0,0,0,0,37.7,144.0,1.0,13.1,105.7,0.4,46.2
78,Aaron Jones,0/0,0,0,0,44.5,191.9,1.0,10.5,86.2,0.4,46.0
79,Zach Zenner,0/0,0,0,0,39.3,158.8,1.2,9.3,81.4,0.4,42.3
80,Mike Tolbert,0/0,0,0,0,38.0,147.7,1.9,7.0,58.9,0.3,39.7
81,Chris Ivory,0/0,0,0,0,61.5,259.8,1.6,2.0,16.2,0.0,37.6
82,Andre Ellington,0/0,0,0,0,16.2,64.8,0.5,13.1,117.4,0.5,37.1
83,Donnel Pumphrey,0/0,0,0,0,20.2,84.3,0.5,13.5,106.5,0.3,37.0
84,Alfred Morris,0/0,0,0,0,40.6,166.9,1.4,5.4,45.6,0.2,36.0
85,Alfred Blue,0/0,0,0,0,35.3,142.9,0.8,8.4,67.1,0.3,35.7
87,Orleans Darkwa,0/0,0,0,0,59.7,232.3,1.1,2.2,18.2,0.1,33.6
88,Aaron Ripkowski,0/0,0,0,0,20.4,85.3,0.5,8.5,68.9,0.7,31.1
89,Joe Williams,0/0,0,0,0,33.8,130.7,0.9,6.2,52.4,0.1,30.9
90,Malcolm Brown,0/0,0,0,0,35.4,142.8,1.0,5.7,44.5,0.1,30.9
91,Charcandrick West,0/0,0,0,0,34.3,132.6,1.5,4.6,37.1,0.1,30.6
92,Lance Dunbar,0/0,0,0,0,21.6,89.5,0.6,9.1,73.8,0.2,29.6
93,Jamize Olawale,0/0,0,0,0,12.1,49.3,0.4,8.7,84.8,0.6,28.5
94,Elijah McGuire,0/0,0,0,0,35.2,140.2,0.8,4.1,33.8,0.1,26.5
95,Brian Hill,0/0,0,0,0,27.2,109.2,1.2,4.2,34.8,0.2,26.2
96,Tyler Ervin,0/0,0,0,0,4.4,17.1,0.1,10.2,88.6,0.2,23.5
97,Wayne Gallman,0/0,0,0,0,35.8,132.2,0.9,2.2,18.2,0.1,22.3
98,Elijah Hood,0/0,0,0,0,20.2,78.5,0.8,4.3,36.4,0.1,20.9
99,Kerwynn Williams,0/0,0,0,0,12.1,53.2,0.4,6.8,58.7,0.2,20.8
100,Javorius Allen,0/0,0,0,0,22.6,91.9,0.5,4.7,36.2,0.1,20.7
