Player,Recpt,Yd,Avg,TD,FL,Points
Jermaine Kearse,37.0,449.0,12.1,2.1,0.2,49.2
Mike Williams,30.0,418.0,13.9,2.7,0.6,49.0
Geronimo Allison,30.0,418.0,13.9,2.5,0.3,48.4
Tyler Boyd,45.0,467.0,10.4,1.4,1.4,46.6
Taywan Taylor,30.0,399.0,13.3,2.4,0.6,45.8
Deonte Thompson,41.0,457.0,11.1,2.5,3.2,45.6
Robert Woods,39.0,444.0,11.4,1.6,0.6,44.4
Nelson Agholor,37.0,376.0,10.2,2.3,0.5,42.8
Dede Westbrook,31.0,368.0,11.9,2.3,0.7,42.4
Brice Butler,21.0,316.0,15.0,2.6,0.3,38.0
Jaelen Strong,34.0,338.0,9.9,1.9,0.3,37.8
Jalin Marshall,26.0,305.0,11.7,3.0,1.7,37.6
Cordarrelle Patterson,33.0,316.0,9.6,2.1,0.4,37.4
Russell Shepard,23.0,340.0,14.8,1.8,0.3,37.2
Michael Floyd,30.0,319.0,10.6,2.4,0.2,37.0
Phillip Dorsett,24.0,365.0,15.2,1.5,0.4,36.2
Charone Peake,31.0,362.0,11.7,1.4,0.3,35.8
Dontrelle Inman,25.0,348.0,13.9,1.6,0.5,35.6
Chester Rogers,25.0,349.0,14.0,1.5,0.3,35.4
Will Fuller,29.0,325.0,11.2,1.5,0.2,33.6
Rod Streater,22.0,278.0,12.6,2.0,0.3,31.4
JuJu Smith-Schuster,24.0,297.0,12.4,1.4,0.3,29.4
Ricardo Louis,26.0,307.0,11.8,1.0,0.3,28.4
Braxton Miller,28.0,271.0,9.7,1.7,0.3,27.6
Chad Williams,20.0,260.0,13.0,1.6,0.7,26.8
Sammie Coates,14.0,282.0,20.1,0.8,0.2,26.0
Chad Hansen,21.0,280.0,13.3,1.2,0.6,26.0
Ryan Grant,20.0,270.0,13.5,1.1,0.4,23.8
Aldrick Robinson,18.0,225.0,12.5,1.0,0.4,20.2
Brian Quick,12.0,189.0,15.8,1.2,0.1,18.0
Eli Rogers,17.0,193.0,11.4,1.0,0.4,17.2
Pharoh Cooper,21.0,207.0,9.9,0.9,0.3,16.8
Roger Lewis,15.0,180.0,12.0,1.0,0.4,16.2
Josh Reynolds,16.0,199.0,12.4,0.9,0.6,16.2
Tanner McEvoy,4.0,68.0,17.0,1.7,0.1,13.0
Darrius Heyward-Bey,5.0,86.0,17.2,0.9,0.0,11.6
Cobi Hamilton,6.0,90.0,15.0,1.0,0.0,10.0
Tajae Sharpe,12.0,147.0,12.2,0.5,0.1,9.8
Josh Huff,9.0,88.0,9.8,1.0,0.1,9.8
Paul Richardson,8.0,123.0,15.4,0.6,0.1,8.4
Justin Hardy,7.0,75.0,10.7,0.9,0.1,8.2
Freddie Martino,6.0,101.0,16.8,0.6,0.1,7.4
Jordan Taylor,5.0,70.0,14.0,0.8,0.4,7.0
Nick Williams,8.0,96.0,12.0,0.5,0.1,6.8
Jarius Wright,11.0,97.0,8.8,0.5,0.2,6.6
Josh Bellamy,7.0,93.0,13.3,0.4,0.1,6.2
DeAngelo Yancey,6.0,68.0,11.3,0.5,0.0,6.0
Andre Roberts,6.0,98.0,16.3,0.5,0.5,6.0
Keshawn Martin,9.0,102.0,11.3,0.5,0.5,6.0
Harry Douglas,10.0,122.0,12.2,0.2,0.1,6.0
Leonte Carroo,5.0,55.0,11.0,0.7,0.1,6.0
Trevor Davis,6.0,62.0,10.3,0.7,0.2,5.8
Chris Matthews,7.0,69.0,9.9,0.5,0.1,5.8
Jeff Janis,4.0,49.0,12.2,0.4,0.1,5.4
Cody Core,10.0,121.0,12.1,0.1,0.1,5.4
Arrelious Benn,2.0,55.0,27.5,0.6,0.1,5.4
Paul Turner,6.0,84.0,14.0,0.2,0.1,5.0
Quan Bray,5.0,64.0,12.8,0.3,0.0,4.8
Bennie Fowler,4.0,59.0,14.8,0.5,0.1,4.8
Robert Davis,5.0,70.0,14.0,0.3,0.1,4.6
Dwayne Harris,4.0,46.0,11.5,0.7,0.3,4.6
Brandon Tate,4.0,62.0,15.5,0.3,0.1,4.6
Amara Darboh,5.0,63.0,12.6,0.4,0.0,4.4
Jeremy Butler,7.0,81.0,11.6,0.1,0.1,4.4
Tevaun Smith,5.0,61.0,12.2,0.4,0.0,4.4
David Moore,5.0,63.0,12.6,0.4,0.0,4.4
Ryan Switzer,4.0,55.0,13.8,0.4,0.1,4.2
Noah Brown,4.0,55.0,13.8,0.4,0.1,4.2
Michael Campanaro,3.0,25.0,8.3,0.1,0.1,4.0
Bryce Treggs,4.0,64.0,16.0,0.2,0.1,4.0
Stacy Coley,5.0,56.0,11.2,0.3,0.0,3.8
Josh Malone,4.0,59.0,14.8,0.3,0.0,3.8
Mack Hollins,5.0,54.0,10.8,0.3,0.0,3.8
Shelton Gibson,5.0,54.0,10.8,0.3,0.0,3.8
Rodney Adams,5.0,56.0,11.2,0.3,0.0,3.8
Jehu Chesson,4.0,53.0,13.2,0.3,0.1,3.6
Daniel Braverman,4.0,60.0,15.0,0.3,0.1,3.6
Isaiah McKenzie,4.0,57.0,14.2,0.3,0.1,3.6
Aaron Dobson,6.0,73.0,12.2,0.1,0.1,3.4
Wendall Williams,5.0,63.0,12.6,0.2,0.0,3.2
Mario Alford,4.0,51.0,12.8,0.2,0.1,3.0
