"Running Backs 2017 Standard Stats -- Average"
"","Rushing","Receiving","Misc"
"Player","Att","Yd","Avg","TD","Recpt","Yd","Avg","TD","FL","FPTS"
"Khiry Robinson, NYJ","17.0","73.0","4.3","0.7","3.0","21.0","7.0","0.0","0.6","7.0"
"Shaun Draughn, NYG","12.0","29.0","2.4","0.4","6.0","50.0","8.3","0.3","0.2","6.8"
"Corey Grant, JAC","12.0","59.0","4.9","0.4","1.0","10.0","10.0","0.4","0.2","6.4"
"Alfred Morris, DAL","18.0","84.0","4.7","0.4","1.0","4.0","4.0","0.0","0.2","6.0"
"DuJuan Harris, SF","14.0","57.0","4.1","0.3","3.0","30.0","10.0","0.2","0.5","5.0"
"Joique Bell, DET","11.0","41.0","3.7","0.5","3.0","33.0","11.0","0.0","0.1","4.8"
"Travaris Cadet, NO","1.0","4.0","4.0","0.0","7.0","50.0","7.1","0.5","0.2","4.6"
"Brian Hill, ATL","10.0","36.0","3.6","0.3","2.0","17.0","8.5","0.1","0.1","4.2"
"Orleans Darkwa, NYG","11.0","43.0","3.9","0.6","1.0","5.0","5.0","0.0","0.2","4.2"
"Peyton Barber, TB","11.0","49.0","4.5","0.4","1.0","7.0","7.0","0.0","0.2","4.0"
"Jeremy McNichols, TB","10.0","31.0","3.1","0.2","2.0","16.0","8.0","0.1","0.1","3.6"
"Antonio Andrews, TEN","14.0","58.0","4.1","0.3","2.0","13.0","6.5","0.0","0.2","3.4"
"Chris Carson, SEA","10.0","36.0","3.6","0.3","2.0","14.0","7.0","0.1","0.1","3.2"
"Elijah Hood, OAK","10.0","36.0","3.6","0.3","2.0","14.0","7.0","0.1","0.1","3.2"
"Aaron Jones, GB","9.0","35.0","3.9","0.3","2.0","15.0","7.5","0.1","0.1","3.2"
"Kenneth Farrow, LAC","12.0","43.0","3.6","0.3","3.0","16.0","5.3","0.0","0.4","3.0"
"Jonathan Grimes, HOU","7.0","36.0","5.1","0.1","4.0","28.0","7.0","0.1","0.2","2.8"
"Alex Collins, SEA","9.0","43.0","4.8","0.3","3.0","25.0","8.3","0.0","0.5","2.8"
"Patrick DiMarco, BUF","0.0","0.0","0.0","0.0","3.0","23.0","7.7","0.3","0.0","2.8"
"Brandon Bolden, NE","5.0","19.0","3.8","0.0","2.0","18.0","9.0","0.2","0.2","2.8"
"Mack Brown, WAS","10.0","45.0","4.5","0.3","2.0","12.0","6.0","0.0","0.1","2.6"
"John Crockett, GB","10.0","35.0","3.5","0.2","2.0","11.0","5.5","0.1","0.1","2.6"
"Jalston Fowler, TEN","2.0","4.0","2.0","0.2","1.0","14.0","14.0","0.2","0.0","2.4"
"C.J. Spiller, KC","3.0","9.0","3.0","0.0","3.0","22.0","7.3","0.3","0.2","2.4"
"Zach Line, MIN","4.0","8.0","2.0","0.2","1.0","14.0","14.0","0.2","0.0","2.4"
"Kapri Bibbs, SF","7.0","42.0","6.0","0.1","0.0","14.0","0.0","0.2","0.2","2.4"
"Terron Ward, ATL","12.0","55.0","4.6","0.1","1.0","11.0","11.0","0.0","0.1","2.4"
"Fozzy Whittaker, CAR","8.0","38.0","4.8","0.1","4.0","29.0","7.2","0.0","0.2","2.2"
"Darius Jackson, CLE","8.0","30.0","3.8","0.2","2.0","12.0","6.0","0.0","0.1","2.0"
"Will Johnson, NYG","2.0","3.0","1.5","0.1","3.0","21.0","7.0","0.1","0.1","2.0"
"Matt Dayes, CLE","8.0","30.0","3.8","0.2","2.0","12.0","6.0","0.0","0.1","2.0"
"Glenn Winston, CLE","8.0","25.0","3.1","0.2","2.0","10.0","5.0","0.0","0.2","1.8"
"Raheem Mostert, SF","7.0","29.0","4.1","0.2","1.0","6.0","6.0","0.0","0.2","1.8"
"Ka'Deem Carey, CHI","6.0","26.0","4.3","0.1","1.0","9.0","9.0","0.1","0.2","1.8"
"Antone Smith, TB","8.0","29.0","3.6","0.1","3.0","36.0","12.0","0.0","0.5","1.6"
"Juwan Thompson, DEN","5.0","17.0","3.4","0.2","1.0","6.0","6.0","0.0","0.3","1.6"
"Troymaine Pope, SEA","8.0","27.0","3.4","0.1","1.0","9.0","9.0","0.0","0.1","1.4"
"Brandon Wilds, NYJ","9.0","30.0","3.3","0.1","2.0","15.0","7.5","0.0","0.1","1.4"
"Daniel Lasco, NO","7.0","26.0","3.7","0.1","2.0","10.0","5.0","0.0","0.1","1.4"
"Knile Davis, PIT","8.0","18.0","2.2","0.1","2.0","10.0","5.0","0.0","0.1","1.4"
"Marcus Murphy, NO","5.0","17.0","3.4","0.1","2.0","11.0","5.5","0.0","0.2","1.2"
"Reggie Bush, BUF","3.0","1.0","0.3","0.1","2.0","19.0","9.5","0.0","0.2","1.2"
"Taiwan Jones, OAK","1.0","4.0","4.0","0.0","2.0","18.0","9.0","0.1","0.2","1.2"
"Derek Watt, LAC","1.0","2.0","2.0","0.0","2.0","41.0","20.5","0.0","0.0","1.0"
"James Develin, NE","1.0","4.0","4.0","0.0","2.0","18.0","9.0","0.0","0.0","1.0"
